X,Y,Date,County
-97.421084,32.802966,1/15/14,TARRANT
-97.420975,32.811304,9/11/14,TARRANT
-97.420669,32.869719,10/21/14,TARRANT
-97.420269,32.802785,5/5/14,TARRANT
-97.420009,32.824401,5/2/14,TARRANT
-97.420009,32.824401,5/2/14,TARRANT
-97.418996,32.693821,1/24/14,TARRANT
-97.418839,32.801854,1/9/14,TARRANT
-97.418839,32.801854,1/9/14,TARRANT
-97.418803,32.848088,5/15/14,TARRANT
-97.418803,32.848088,5/15/14,TARRANT
-97.418803,32.848088,5/15/14,TARRANT
-97.418544,32.80247,3/28/14,TARRANT
-97.418544,32.80247,3/28/14,TARRANT
-97.418316,32.695522,4/25/14,TARRANT
-97.418316,32.695522,4/25/14,TARRANT
-97.418246,32.799413,6/26/14,TARRANT
-97.417635,32.822581,8/6/14,TARRANT
-97.417635,32.822581,8/6/14,TARRANT
-97.417635,32.822581,8/6/14,TARRANT
-97.417352,32.945261,6/13/14,TARRANT
-97.417352,32.945261,6/13/14,TARRANT
-97.416244,32.82639,2/27/14,TARRANT
-97.416244,32.82639,8/14/14,TARRANT
-97.416063,32.693935,1/30/14,TARRANT
-97.416063,32.693935,1/30/14,TARRANT
-97.415811,32.694728,2/5/14,TARRANT
-97.41579,32.660053,10/13/14,TARRANT
-97.41579,32.660053,10/13/14,TARRANT
-97.41579,32.660053,10/13/14,TARRANT
-97.41579,32.660053,10/13/14,TARRANT
-97.415747,32.774263,2/5/14,TARRANT
-97.415747,32.774263,2/5/14,TARRANT
-97.415747,32.774263,3/21/14,TARRANT
-97.415747,32.774263,3/21/14,TARRANT
-97.415747,32.774263,3/21/14,TARRANT
-97.415472,32.619823,10/2/14,TARRANT
-97.415472,32.619823,10/2/14,TARRANT
-97.415304,32.826893,5/9/14,TARRANT
-97.415072,32.831048,5/8/14,TARRANT
-97.414965,32.69279,10/7/14,TARRANT
-97.414798,32.674991,12/19/14,TARRANT
-97.414762,32.774024,6/6/14,TARRANT
-97.414762,32.774024,6/6/14,TARRANT
-97.414361,32.733138,1/16/14,TARRANT
-97.414052,32.830983,5/9/14,TARRANT
-97.41397,32.710587,4/23/14,TARRANT
-97.41397,32.710587,4/23/14,TARRANT
-97.41397,32.710587,4/23/14,TARRANT
-97.41397,32.710587,4/23/14,TARRANT
-97.41397,32.710587,4/23/14,TARRANT
-97.41397,32.710587,4/23/14,TARRANT
-97.413759,32.840348,7/2/14,TARRANT
-97.413554,32.756428,7/10/14,TARRANT
-97.413554,32.756428,7/10/14,TARRANT
-97.413436,32.674604,2/19/14,TARRANT
-97.413194,32.710775,10/5/14,TARRANT
-97.412779,32.759773,5/20/14,TARRANT
-97.412779,32.759773,5/20/14,TARRANT
-97.412712,32.727428,7/3/14,TARRANT
-97.412712,32.727428,7/3/14,TARRANT
-97.412423,32.631729,3/6/14,TARRANT
-97.412414,32.821925,9/29/14,TARRANT
-97.412328,32.672556,10/14/14,TARRANT
-97.411974,32.754918,5/9/14,TARRANT
-97.411764,32.756618,4/10/14,TARRANT
-97.411751,32.712515,5/21/14,TARRANT
-97.411751,32.712515,1/30/14,TARRANT
-97.411751,32.712611,2/10/14,TARRANT
-97.411742,32.980818,10/15/14,TARRANT
-97.411718,32.82531,8/22/14,TARRANT
-97.411633,32.834365,6/18/14,TARRANT
-97.411633,32.834365,6/18/14,TARRANT
-97.411633,32.834365,6/18/14,TARRANT
-97.411632,32.673964,10/8/14,TARRANT
-97.411632,32.673964,10/8/14,TARRANT
-97.411628,32.674349,6/9/14,TARRANT
-97.411351,32.722678,2/11/14,TARRANT
-97.411351,32.722678,2/11/14,TARRANT
-97.411351,32.722678,2/11/14,TARRANT
-97.410661,32.67529,2/28/14,TARRANT
-97.410362,32.830303,12/1/14,TARRANT
-97.410362,32.830303,12/1/14,TARRANT
-97.410362,32.830303,9/30/14,TARRANT
-97.410348,32.798354,4/17/14,TARRANT
-97.410348,32.798354,4/17/14,TARRANT
-97.409811,32.769018,8/1/14,TARRANT
-97.409642,32.862138,1/3/14,TARRANT
-97.409582,32.808997,3/5/14,TARRANT
-97.409485,32.856587,8/29/14,TARRANT
-97.409461,32.717898,4/11/14,TARRANT
-97.409461,32.717898,4/11/14,TARRANT
-97.409441,32.719808,6/23/14,TARRANT
-97.408947,32.822788,11/7/14,TARRANT
-97.408865,32.768336,2/21/14,TARRANT
-97.408865,32.768336,2/3/14,TARRANT
-97.408738,32.656641,6/25/14,TARRANT
-97.408738,32.656641,4/21/14,TARRANT
-97.407962,32.660003,3/11/14,TARRANT
